.0.0, zeroDotZero
.1.3.6.1.2.1.4.21.1.10, ipRouteAge
.1.3.6.1.2.1.4.21.1.11, ipRouteMask
.1.3.6.1.2.1.4.21.1.12, ipRouteMetric5
.1.3.6.1.2.1.4.21.1.13, ipRouteInfo
.1.3.6.1.2.1.4.21.1.2, ipRouteIfIndex
.1.3.6.1.2.1.4.21.1.3, ipRouteMetric1
.1.3.6.1.2.1.4.21.1.4, ipRouteMetric2
.1.3.6.1.2.1.4.21.1.5, ipRouteMetric3
.1.3.6.1.2.1.4.21.1.6, ipRouteMetric4
.1.3.6.1.2.1.4.21.1.7, ipRouteNextHop
.1.3.6.1.2.1.4.21.1.8, ipRouteType
.1.3.6.1.2.1.4.21.1.9, ipRouteProto
.1.3.6.1.2.1.4.22, ipNetToMediaTable
.1.3.6.1.2.1.4.22.1, ipNetToMediaEntry
.1.3.6.1.2.1.4.22.1.1, ipNetToMediaIfIndex
.1.3.6.1.2.1.4.22.1.2, ipNetToMediaPhysAddress
.1.3.6.1.2.1.4.22.1.3, ipNetToMediaNetAddress
.1.3.6.1.2.1.4.22.1.4, ipNetToMediaType
.1.3.6.1.2.1.4.23, ipRoutingDiscards
.1.3.6.1.2.1.4.3, ipInReceives
.1.3.6.1.2.1.4.4, ipInHdrErrors
.1.3.6.1.2.1.4.5, ipInAddrErrors
.1.3.6.1.2.1.4.6, ipForwDatagrams
.1.3.6.1.2.1.4.7, ipInUnknownProtos
.1.3.6.1.2.1.4.8, ipInDiscards
.1.3.6.1.2.1.4.9, ipInDelivers
.1.3.6.1.2.1.5, icmp
.1.3.6.1.2.1.5.1, icmpInMsgs
.1.3.6.1.2.1.5.10, icmpInTimestamps
.1.3.6.1.2.1.5.11, icmpInTimestampReps
.1.3.6.1.2.1.5.12, icmpInAddrMasks
.1.3.6.1.2.1.5.13, icmpInAddrMaskReps
.1.3.6.1.2.1.5.14, icmpOutMsgs
.1.3.6.1.2.1.5.15, icmpOutErrors
.1.3.6.1.2.1.5.16, icmpOutDestUnreachs
.1.3.6.1.2.1.5.17, icmpOutTimeExcds
.1.3.6.1.2.1.5.18, icmpOutParmProbs
.1.3.6.1.2.1.5.19, icmpOutSrcQuenchs
.1.3.6.1.2.1.5.2, icmpInErrors
.1.3.6.1.2.1.5.20, icmpOutRedirects
.1.3.6.1.2.1.5.21, icmpOutEchos
.1.3.6.1.2.1.5.22, icmpOutEchoReps
.1.3.6.1.2.1.5.23, icmpOutTimestamps
.1.3.6.1.2.1.5.24, icmpOutTimestampReps
.1.3.6.1.2.1.5.25, icmpOutAddrMasks
.1.3.6.1.2.1.5.26, icmpOutAddrMaskReps
.1.3.6.1.2.1.5.3, icmpInDestUnreachs
.1.3.6.1.2.1.5.4, icmpInTimeExcds
.1.3.6.1.2.1.5.5, icmpInParmProbs
.1.3.6.1.2.1.5.6, icmpInSrcQuenchs
.1.3.6.1.2.1.5.7, icmpInRedirects
.1.3.6.1.2.1.5.8, icmpInEchos
.1.3.6.1.2.1.5.9, icmpInEchoReps
.1.3.6.1.2.1.6, tcp
.1.3.6.1.2.1.6.1, tcpRtoAlgorithm
.1.3.6.1.2.1.6.10, tcpInSegs
.1.3.6.1.2.1.6.11, tcpOutSegs
.1.3.6.1.2.1.6.12, tcpRetransSegs
.1.3.6.1.2.1.6.13, tcpConnTable
.1.3.6.1.2.1.6.13.1, tcpConnEntry
.1.3.6.1.2.1.6.13.1.1, tcpConnState
.1.3.6.1.2.1.6.13.1.2, tcpConnLocalAddress
.1.3.6.1.2.1.6.13.1.3, tcpConnLocalPort
.1.3.6.1.2.1.6.13.1.4, tcpConnRemAddress
.1.3.6.1.2.1.6.13.1.5, tcpConnRemPort
.1.3.6.1.2.1.6.14, tcpInErrs
.1.3.6.1.2.1.6.15, tcpOutRsts
.1.3.6.1.2.1.6.2, tcpRtoMin
.1.3.6.1.2.1.6.3, tcpRtoMax
.1.3.6.1.2.1.6.4, tcpMaxConn
.1.3.6.1.2.1.6.5, tcpActiveOpens
.1.3.6.1.2.1.6.6, tcpPassiveOpens
.1.3.6.1.2.1.6.7, tcpAttemptFails
.1.3.6.1.2.1.6.8, tcpEstabResets
.1.3.6.1.2.1.6.9, tcpCurrEstab
.1.3.6.1.2.1.7, udp
.1.3.6.1.2.1.7.1, udpInDatagrams
.1.3.6.1.2.1.7.2, udpNoPorts
.1.3.6.1.2.1.7.3, udpInErrors
.1.3.6.1.2.1.7.4, udpOutDatagrams
.1.3.6.1.2.1.7.5, udpTable
.1.3.6.1.2.1.7.5.1, udpEntry
.1.3.6.1.2.1.7.5.1.1, udpLocalAddress
.1.3.6.1.2.1.7.5.1.2, udpLocalPort
.1.3.6.1.2.1.8, egp
.1.3.6.1.2.1.8.1, egpInMsgs
.1.3.6.1.2.1.8.2, egpInErrors
.1.3.6.1.2.1.8.3, egpOutMsgs
.1.3.6.1.2.1.8.4, egpOutErrors
.1.3.6.1.2.1.8.5, egpNeighTable
.1.3.6.1.2.1.8.5.1, egpNeighEntry
.1.3.6.1.2.1.8.5.1.1, egpNeighState
.1.3.6.1.2.1.8.5.1.10, egpNeighStateUps
.1.3.6.1.2.1.8.5.1.11, egpNeighStateDowns
.1.3.6.1.2.1.8.5.1.12, egpNeighIntervalHello
.1.3.6.1.2.1.8.5.1.13, egpNeighIntervalPoll
.1.3.6.1.2.1.8.5.1.14, egpNeighMode
.1.3.6.1.2.1.8.5.1.15, egpNeighEventTrigger
.1.3.6.1.2.1.8.5.1.2, egpNeighAddr
.1.3.6.1.2.1.8.5.1.3, egpNeighAs
.1.3.6.1.2.1.8.5.1.4, egpNeighInMsgs
.1.3.6.1.2.1.8.5.1.5, egpNeighInErrs
.1.3.6.1.2.1.8.5.1.6, egpNeighOutMsgs
.1.3.6.1.2.1.8.5.1.7, egpNeighOutErrs
.1.3.6.1.2.1.8.5.1.8, egpNeighInErrMsgs
.1.3.6.1.2.1.8.5.1.9, egpNeighOutErrMsgs
.1.3.6.1.2.1.8.6, egpAs
.1.3.6.1.3, experimental
.1.3.6.1.3.94, fcmgmt
.1.3.6.1.3.94.0, fcmgmt#
.1.3.6.1.3.94.0.1, connUnitStatusChange
.1.3.6.1.3.94.0.3, connUnitDeletedTrap
.1.3.6.1.3.94.0.4, connUnitEventTrap
.1.3.6.1.3.94.0.5, connUnitSensorStatusChange
.1.3.6.1.3.94.0.6, connUnitPortStatusChange
.1.3.6.1.3.94.1, connSet
.1.3.6.1.3.94.1.1, uNumber
.1.3.6.1.3.94.1.10, connUnitPortTable
.1.3.6.1.3.94.1.10.1, connUnitPortEntry
.1.3.6.1.3.94.1.10.1.1, connUnitPortUnitId
.1.3.6.1.3.94.1.10.1.10, connUnitPortWwn
.1.3.6.1.3.94.1.10.1.11, connUnitPortFCId
.1.3.6.1.3.94.1.10.1.12, connUnitPortSn
.1.3.6.1.3.94.1.10.1.13, connUnitPortRevision
.1.3.6.1.3.94.1.10.1.14, connUnitPortVendor
.1.3.6.1.3.94.1.10.1.15, connUnitPortSpeed
.1.3.6.1.3.94.1.10.1.16, connUnitPortControl
.1.3.6.1.3.94.1.10.1.17, connUnitPortName
.1.3.6.1.3.94.1.10.1.18, connUnitPortPhysicalNumber
.1.3.6.1.3.94.1.10.1.19, connUnitPortStatObject
.1.3.6.1.3.94.1.10.1.2, connUnitPortIndex
.1.3.6.1.3.94.1.10.1.20, connUnitPortProtocolCap
.1.3.6.1.3.94.1.10.1.21, connUnitPortProtocolOp
.1.3.6.1.3.94.1.10.1.22, connUnitPortNodeWwn
.1.3.6.1.3.94.1.10.1.23, connUnitPortHWState
.1.3.6.1.3.94.1.10.1.3, connUnitPortType
.1.3.6.1.3.94.1.10.1.4, connUnitPortFCClassCap
.1.3.6.1.3.94.1.10.1.5, connUnitPortFCClassOp
.1.3.6.1.3.94.1.10.1.6, connUnitPortState
.1.3.6.1.3.94.1.10.1.7, connUnitPortStatus
.1.3.6.1.3.94.1.10.1.8, connUnitPortTransmitterType
.1.3.6.1.3.94.1.10.1.9, connUnitPortModuleType
.1.3.6.1.3.94.1.11, connUnitEventTable
.1.3.6.1.3.94.1.11.1, connUnitEventEntry
.1.3.6.1.3.94.1.11.1.1, connUnitEventUnitId
.1.3.6.1.3.94.1.11.1.2, connUnitEventIndex
.1.3.6.1.3.94.1.11.1.3, connUnitEventId
.1.3.6.1.3.94.1.11.1.4, connUnitREventTime
.1.3.6.1.3.94.1.11.1.5, connUnitSEventTime
.1.3.6.1.3.94.1.11.1.6, connUnitEventSeverity
.1.3.6.1.3.94.1.11.1.7, connUnitEventType
.1.3.6.1.3.94.1.11.1.8, connUnitEventObject
.1.3.6.1.3.94.1.11.1.9, connUnitEventDescr
.1.3.6.1.3.94.1.12, connUnitLinkTable
.1.3.6.1.3.94.1.12.1, connUnitLinkEntry
.1.3.6.1.3.94.1.12.1.1, connUnitLinkUnitId
.1.3.6.1.3.94.1.12.1.10, connUnitLinkAgentAddressTypeY
.1.3.6.1.3.94.1.12.1.11, connUnitLinkAgentPortY
.1.3.6.1.3.94.1.12.1.12, connUnitLinkUnitTypeY
.1.3.6.1.3.94.1.12.1.13, connUnitLinkConnIdY
.1.3.6.1.3.94.1.12.1.14, connUnitLinkCurrIndex
.1.3.6.1.3.94.1.12.1.2, connUnitLinkIndex
.1.3.6.1.3.94.1.12.1.3, connUnitLinkNodeIdX
.1.3.6.1.3.94.1.12.1.4, connUnitLinkPortNumberX
.1.3.6.1.3.94.1.12.1.5, connUnitLinkPortWwnX
.1.3.6.1.3.94.1.12.1.6, connUnitLinkNodeIdY
.1.3.6.1.3.94.1.12.1.7, connUnitLinkPortNumberY
.1.3.6.1.3.94.1.12.1.8, connUnitLinkPortWwnY
.1.3.6.1.3.94.1.12.1.9, connUnitLinkAgentAddressY
.1.3.6.1.3.94.1.2, systemURL
.1.3.6.1.3.94.1.3, statusChangeTime
.1.3.6.1.3.94.1.4, configurationChangeTime
.1.3.6.1.3.94.1.5, connUnitTableChangeTime
.1.3.6.1.3.94.1.6, connUnitTable
.1.3.6.1.3.94.1.6.1, connUnitEntry
.1.3.6.1.3.94.1.6.1.1, connUnitId
.1.3.6.1.3.94.1.6.1.10, connUnitUrl
.1.3.6.1.3.94.1.6.1.11, connUnitDomainId
.1.3.6.1.3.94.1.6.1.12, connUnitProxyMaster
.1.3.6.1.3.94.1.6.1.13, connUnitPrincipal
.1.3.6.1.3.94.1.6.1.14, connUnitNumSensors
.1.3.6.1.3.94.1.6.1.15, connUnitStatusChangeTime
.1.3.6.1.3.94.1.6.1.16, connUnitConfigurationChangeTime
.1.3.6.1.3.94.1.6.1.17, connUnitNumRevs
.1.3.6.1.3.94.1.6.1.18, connUnitNumZones
.1.3.6.1.3.94.1.6.1.19, connUnitModuleId
.1.3.6.1.3.94.1.6.1.2, connUnitGlobalId
.1.3.6.1.3.94.1.6.1.20, connUnitName
.1.3.6.1.3.94.1.6.1.21, connUnitInfo
.1.3.6.1.3.94.1.6.1.22, connUnitControl
.1.3.6.1.3.94.1.6.1.23, connUnitContact
.1.3.6.1.3.94.1.6.1.24, connUnitLocation
.1.3.6.1.3.94.1.6.1.25, connUnitEventFilter
.1.3.6.1.3.94.1.6.1.26, connUnitNumEvents
.1.3.6.1.3.94.1.6.1.27, connUnitMaxEvents
.1.3.6.1.3.94.1.6.1.28, connUnitEventCurrID
.1.3.6.1.3.94.1.6.1.3, connUnitType
.1.3.6.1.3.94.1.6.1.4, connUnitNumports
.1.3.6.1.3.94.1.6.1.5, connUnitState
.1.3.6.1.3.94.1.6.1.6, connUnitStatus
.1.3.6.1.3.94.1.6.1.7, connUnitProduct
.1.3.6.1.3.94.1.6.1.8, connUnitSn
.1.3.6.1.3.94.1.6.1.9, connUnitUpTime
.1.3.6.1.3.94.1.7, connUnitRevsTable
.1.3.6.1.3.94.1.7.1, connUnitRevsEntry
.1.3.6.1.3.94.1.7.1.1, connUnitRevsUnitId
.1.3.6.1.3.94.1.7.1.2, connUnitRevsIndex
.1.3.6.1.3.94.1.7.1.3, connUnitRevsRevId
.1.3.6.1.3.94.1.7.1.4, connUnitRevsDescription
.1.3.6.1.3.94.1.8, connUnitSensorTable
.1.3.6.1.3.94.1.8.1, connUnitSensorEntry
.1.3.6.1.3.94.1.8.1.1, connUnitSensorUnitId
.1.3.6.1.3.94.1.8.1.2, connUnitSensorIndex
.1.3.6.1.3.94.1.8.1.3, connUnitSensorName
.1.3.6.1.3.94.1.8.1.4, connUnitSensorStatus
.1.3.6.1.3.94.1.8.1.5, connUnitSensorInfo
.1.3.6.1.3.94.1.8.1.6, connUnitSensorMessage
.1.3.6.1.3.94.1.8.1.7, connUnitSensorType
.1.3.6.1.3.94.1.8.1.8, connUnitSensorCharacteristic
.1.3.6.1.3.94.2, trapReg
.1.3.6.1.3.94.2.1, trapMaxClients
.1.3.6.1.3.94.2.2, trapClientCount
.1.3.6.1.3.94.2.3, trapRegTable
.1.3.6.1.3.94.2.3.1, trapRegEntry
.1.3.6.1.3.94.2.3.1.1, trapRegIpAddress
.1.3.6.1.3.94.2.3.1.2, trapRegPort
.1.3.6.1.3.94.2.3.1.3, trapRegFilter
.1.3.6.1.3.94.2.3.1.4, trapRegRowState
.1.3.6.1.3.94.3, revisionNumber
.1.3.6.1.3.94.4, statSet
.1.3.6.1.3.94.4.5, connUnitPortStatTable
.1.3.6.1.3.94.4.5.1, connUnitPortStatEntry
.1.3.6.1.3.94.4.5.1.1, connUnitPortStatUnitId
.1.3.6.1.3.94.4.5.1.10, connUnitPortStatCountFBSYFrames
.1.3.6.1.3.94.4.5.1.11, connUnitPortStatCountPBSYFrames
.1.3.6.1.3.94.4.5.1.12, connUnitPortStatCountFRJTFrames
.1.3.6.1.3.94.4.5.1.13, connUnitPortStatCountPRJTFrames
.1.3.6.1.3.94.4.5.1.14, connUnitPortStatCountClass1RxFrames
.1.3.6.1.3.94.4.5.1.15, connUnitPortStatCountClass1TxFrames
.1.3.6.1.3.94.4.5.1.16, connUnitPortStatCountClass1FBSYFrames
.1.3.6.1.3.94.4.5.1.17, connUnitPortStatCountClass1PBSYFrames
.1.3.6.1.3.94.4.5.1.18, connUnitPortStatCountClass1FRJTFrames
.1.3.6.1.3.94.4.5.1.19, connUnitPortStatCountClass1PRJTFrames
.1.3.6.1.3.94.4.5.1.2, connUnitPortStatIndex
.1.3.6.1.3.94.4.5.1.20, connUnitPortStatCountClass2RxFrames
.1.3.6.1.3.94.4.5.1.21, connUnitPortStatCountClass2TxFrames
.1.3.6.1.3.94.4.5.1.22, connUnitPortStatCountClass2FBSYFrames
.1.3.6.1.3.94.4.5.1.23, connUnitPortStatCountClass2PBSYFrames
.1.3.6.1.3.94.4.5.1.24, connUnitPortStatCountClass2FRJTFrames
.1.3.6.1.3.94.4.5.1.25, connUnitPortStatCountClass2PRJTFrames
.1.3.6.1.3.94.4.5.1.26, connUnitPortStatCountClass3RxFrames
.1.3.6.1.3.94.4.5.1.27, connUnitPortStatCountClass3TxFrames
.1.3.6.1.3.94.4.5.1.28, connUnitPortStatCountClass3Discards
.1.3.6.1.3.94.4.5.1.29, connUnitPortStatCountRxMulticastObjects
.1.3.6.1.3.94.4.5.1.3, connUnitPortStatCountError
.1.3.6.1.3.94.4.5.1.30, connUnitPortStatCountTxMulticastObjects
.1.3.6.1.3.94.4.5.1.31, connUnitPortStatCountRxBroadcastObjects
.1.3.6.1.3.94.4.5.1.32, connUnitPortStatCountTxBroadcastObjects
.1.3.6.1.3.94.4.5.1.33, connUnitPortStatCountRxLinkResets
.1.3.6.1.3.94.4.5.1.34, connUnitPortStatCountTxLinkResets
.1.3.6.1.3.94.4.5.1.35, connUnitPortStatCountNumberLinkResets
.1.3.6.1.3.94.4.5.1.36, connUnitPortStatCountRxOfflineSequences
.1.3.6.1.3.94.4.5.1.37, connUnitPortStatCountTxOfflineSequences
.1.3.6.1.3.94.4.5.1.38, connUnitPortStatCountNumberOfflineSequences
.1.3.6.1.3.94.4.5.1.39, connUnitPortStatCountLinkFailures
.1.3.6.1.3.94.4.5.1.4, connUnitPortStatCountTxObjects
.1.3.6.1.3.94.4.5.1.40, connUnitPortStatCountInvalidCRC
.1.3.6.1.3.94.4.5.1.41, connUnitPortStatCountInvalidTxWords
.1.3.6.1.3.94.4.5.1.42, connUnitPortStatCountPrimitiveSequenceProtocolErrors
.1.3.6.1.3.94.4.5.1.43, connUnitPortStatCountLossofSignal
.1.3.6.1.3.94.4.5.1.44, connUnitPortStatCountLossofSynchronization
.1.3.6.1.3.94.4.5.1.45, connUnitPortStatCountInvalidOrderedSets
.1.3.6.1.3.94.4.5.1.46, connUnitPortStatCountFramesTooLong
.1.3.6.1.3.94.4.5.1.47, connUnitPortStatCountFramesTruncated
.1.3.6.1.3.94.4.5.1.48, connUnitPortStatCountAddressErrors
.1.3.6.1.3.94.4.5.1.49, connUnitPortStatCountDelimiterErrors
.1.3.6.1.3.94.4.5.1.5, connUnitPortStatCountRxObjects
.1.3.6.1.3.94.4.5.1.50, connUnitPortStatCountEncodingDisparityErrors
.1.3.6.1.3.94.4.5.1.6, connUnitPortStatCountTxElements
.1.3.6.1.3.94.4.5.1.7, connUnitPortStatCountRxElements
.1.3.6.1.3.94.4.5.1.8, connUnitPortStatCountBBCreditZero
.1.3.6.1.3.94.4.5.1.9, connUnitPortStatCountInputBuffersFull
.1.3.6.1.3.94.5, connUnitServiceSet
.1.3.6.1.3.94.5.1, connUnitServiceScalars
.1.3.6.1.3.94.5.1.1, connUnitSnsMaxEntry
.1.3.6.1.3.94.5.2, connUnitServiceTables
.1.3.6.1.3.94.5.2.1, connUnitSnsTable
.1.3.6.1.3.94.5.2.1.1, connUnitSnsEntry
.1.3.6.1.3.94.5.2.1.1.1, connUnitSnsId
.1.3.6.1.3.94.5.2.1.1.10, connUnitSnsPortType
.1.3.6.1.3.94.5.2.1.1.11, connUnitSnsPortIPAddress
.1.3.6.1.3.94.5.2.1.1.12, connUnitSnsFabricPortName
.1.3.6.1.3.94.5.2.1.1.13, connUnitSnsHardAddress
.1.3.6.1.3.94.5.2.1.1.14, connUnitSnsSymbolicPortName
.1.3.6.1.3.94.5.2.1.1.15, connUnitSnsSymbolicNodeName
.1.3.6.1.3.94.5.2.1.1.2, connUnitSnsPortIndex
.1.3.6.1.3.94.5.2.1.1.3, connUnitSnsPortIdentifier
.1.3.6.1.3.94.5.2.1.1.4, connUnitSnsPortName
.1.3.6.1.3.94.5.2.1.1.5, connUnitSnsNodeName
.1.3.6.1.3.94.5.2.1.1.6, connUnitSnsClassOfSvc
.1.3.6.1.3.94.5.2.1.1.7, connUnitSnsNodeIPAddress
.1.3.6.1.3.94.5.2.1.1.8, connUnitSnsProcAssoc
.1.3.6.1.3.94.5.2.1.1.9, connUnitSnsFC4Type
.1.3.6.1.4, private
.1.3.6.1.4.1, enterprises
.1.3.6.1.4.1.11, hp
.1.3.6.1.4.1.11.2, nm
.1.3.6.1.4.1.11.2.51, hpMSA
.1.3.6.1.4.1.11.2.51.0, hpMSA#
.1.3.6.1.4.1.11.2.51.0.3001, msaEventInfoTrap
.1.3.6.1.4.1.11.2.51.0.3002, msaEventWarningTrap
.1.3.6.1.4.1.11.2.51.0.3003, msaEventErrorTrap
.1.3.6.1.4.1.11.2.51.0.3004, msaEventCriticalTrap
.1.3.6.1.4.1.11.2.51.1, mibName
.1.3.6.1.4.1.16858.1.1.2.5.1.1, cpuIndex
.1.3.6.1.4.1.16858.1.1.3.1.1.2, procName
.1.3.6.1.4.1.16858.1.1.4.1.1.2, fsMountPoint
.1.3.6.1.4.1.16858.3.0.1, procCrash
.1.3.6.1.4.1.16858.3.0.10, memUtilizationHigh
.1.3.6.1.4.1.16858.3.0.11, netUtilizationHigh
.1.3.6.1.4.1.16858.3.0.12, diskIOHigh
.1.3.6.1.4.1.16858.3.0.13, cmcVersionMismatch
.1.3.6.1.4.1.16858.3.0.14, userLogin
.1.3.6.1.4.1.16858.3.0.15, userLogout
.1.3.6.1.4.1.16858.3.0.16, testTrap
.1.3.6.1.4.1.16858.3.0.17, procRelaunch
.1.3.6.1.4.1.16858.3.0.18, cpuUtilOK
.1.3.6.1.4.1.16858.3.0.19, pagingActivityOK
.1.3.6.1.4.1.16858.3.0.2, procExit
.1.3.6.1.4.1.16858.3.0.20, diskSpaceOK
.1.3.6.1.4.1.16858.3.0.21, netUtilizationOK
.1.3.6.1.4.1.16858.3.0.22, diskIOOK
.1.3.6.1.4.1.16858.3.0.23, memUtilizationOK
.1.3.6.1.4.1.16858.3.0.24, cmcStatusFailureOK
.1.3.6.1.4.1.16858.3.0.3, cpuUtilHigh
.1.3.6.1.4.1.16858.3.0.4, pagingActivityHigh
.1.3.6.1.4.1.16858.3.0.5, smartError
.1.3.6.1.4.1.16858.3.0.6, unexpectedShutdown
.1.3.6.1.4.1.16858.3.0.7, diskSpaceLow
.1.3.6.1.4.1.16858.3.0.8, procLivenessFailure
.1.3.6.1.4.1.16858.3.0.9, cmcStatusFailure
.1.3.6.1.4.1.232, compaq
.1.3.6.1.4.1.232.0, compaq#
.1.3.6.1.4.1.232.0.11001, cpqHoGenericTrap
.1.3.6.1.4.1.232.0.11002, cpqHoAppErrorTrap
.1.3.6.1.4.1.232.0.11003, cpqHo2GenericTrap
.1.3.6.1.4.1.232.0.11004, cpqHo2AppErrorTrap
.1.3.6.1.4.1.232.0.11005, cpqHo2NicStatusOk
.1.3.6.1.4.1.232.0.11006, cpqHo2NicStatusFailed
.1.3.6.1.4.1.232.0.11007, cpqHo2NicSwitchoverOccurred
.1.3.6.1.4.1.232.0.11008, cpqHo2NicStatusOk2
.1.3.6.1.4.1.232.0.11009, cpqHo2NicStatusFailed2
.1.3.6.1.4.1.232.0.11010, cpqHo2NicSwitchoverOccurred2
.1.3.6.1.4.1.232.0.11011, cpqHoProcessEventTrap
.1.3.6.1.4.1.232.0.11012, cpqHoProcessCountWarning
.1.3.6.1.4.1.232.0.11013, cpqHoProcessCountNormal
.1.3.6.1.4.1.232.0.11014, cpqHoCriticalSoftwareUpdateTrap
.1.3.6.1.4.1.232.0.11015, cpqHoCrashDumpNotEnabledTrap
.1.3.6.1.4.1.232.0.11016, cpqHoBootPagingFileTooSmallTrap
.1.3.6.1.4.1.232.0.11017, cpqHoSWRunningStatusChangeTrap
.1.3.6.1.4.1.232.0.11018, cpqHo2PowerThresholdTrap
.1.3.6.1.4.1.232.0.11019, cpqHoBootPagingFileOrFreeSpaceTooSmallTrap
.1.3.6.1.4.1.232.0.22001, cpqRackNameChanged
.1.3.6.1.4.1.232.0.22002, cpqRackEnclosureNameChanged
